scale,metric,unit,alpha,mean,var,cvar,sample_count,tail_equivalent_count,excluded_partial_blocks,experiment,grid_limit_kw,seed,policy
hour,inventory_adjustment,EUR/hour,0.9,0.0040058035714285855,0.1049016902608078,0.1967749008031204,672,67.19999999999999,0,all_matching_28d,2.5,42,stochastic
hour,adjusted_loss,EUR/hour,0.9,0.3711089865793678,0.5897631578947368,0.9100983913600562,672,67.19999999999999,0,all_matching_28d,2.5,42,stochastic
hour,ens,kWh/hour,0.9,0.003016709827241455,0.0,0.030167098272414546,672,67.19999999999999,0,all_matching_28d,2.5,42,stochastic
utc_day,actual_expense,EUR/block,0.9,8.08646603365259,9.993203690378289,10.254325665470217,28,2.7999999999999994,0,all_matching_28d,2.5,42,stochastic
utc_day,shortage_penalty,EUR/block,0.9,0.7240103585379494,0.8945678710937477,7.101967200454412,28,2.7999999999999994,0,all_matching_28d,2.5,42,stochastic
utc_day,inventory_adjustment,EUR/block,0.9,0.09613928571428602,0.6943500000000001,0.6943500000000001,28,2.7999999999999994,0,all_matching_28d,2.5,42,stochastic
utc_day,adjusted_loss,EUR/block,0.9,8.906615677904826,10.390338830397335,17.229437085617572,28,2.7999999999999994,0,all_matching_28d,2.5,42,stochastic
utc_day,ens,kWh/block,0.9,0.0724010358537949,0.0894567871093746,0.7101967200454411,28,2.7999999999999994,0,all_matching_28d,2.5,42,stochastic
nonoverlapping_24h,actual_expense,EUR/block,0.9,8.08646603365259,9.993203690378289,10.254325665470217,28,2.7999999999999994,0,all_matching_28d,2.5,42,stochastic
nonoverlapping_24h,shortage_penalty,EUR/block,0.9,0.7240103585379494,0.8945678710937477,7.101967200454412,28,2.7999999999999994,0,all_matching_28d,2.5,42,stochastic
nonoverlapping_24h,inventory_adjustment,EUR/block,0.9,0.09613928571428602,0.6943500000000001,0.6943500000000001,28,2.7999999999999994,0,all_matching_28d,2.5,42,stochastic
nonoverlapping_24h,adjusted_loss,EUR/block,0.9,8.906615677904826,10.390338830397335,17.229437085617572,28,2.7999999999999994,0,all_matching_28d,2.5,42,stochastic
nonoverlapping_24h,ens,kWh/block,0.9,0.0724010358537949,0.0894567871093746,0.7101967200454411,28,2.7999999999999994,0,all_matching_28d,2.5,42,stochastic
hour,actual_expense,EUR/hour,0.9,0.33690196731667993,0.5045,0.5056833864789567,672,67.19999999999999,0,all_matching_28d,2.5,42,cvar_0.5
hour,shortage_penalty,EUR/hour,0.9,0.03676320549582144,0.0,0.3676320549582144,672,67.19999999999999,0,all_matching_28d,2.5,42,cvar_0.5
hour,inventory_adjustment,EUR/hour,0.9,0.003965308997198301,0.1069947823660709,0.2219133385756038,672,67.19999999999999,0,all_matching_28d,2.5,42,cvar_0.5
hour,adjusted_loss,EUR/hour,0.9,0.3776304818096997,0.5897631578947368,0.9747337646713841,672,67.19999999999999,0,all_matching_28d,2.5,42,cvar_0.5
hour,ens,kWh/hour,0.9,0.003676320549582143,0.0,0.03676320549582144,672,67.19999999999999,0,all_matching_28d,2.5,42,cvar_0.5
utc_day,actual_expense,EUR/block,0.9,8.085647215600318,9.993203690378289,10.223278178950675,28,2.7999999999999994,0,all_matching_28d,2.5,42,cvar_0.5
utc_day,shortage_penalty,EUR/block,0.9,0.8823169318997147,1.4913661411830237,8.71664316605549,28,2.7999999999999994,0,all_matching_28d,2.5,42,cvar_0.5
utc_day,inventory_adjustment,EUR/block,0.9,0.09516741593275917,0.6943500000000001,0.6943500000000001,28,2.7999999999999994,0,all_matching_28d,2.5,42,cvar_0.5
utc_day,adjusted_loss,EUR/block,0.9,9.063131563432792,10.390338830397333,18.64255177324503,28,2.7999999999999994,0,all_matching_28d,2.5,42,cvar_0.5
utc_day,ens,kWh/block,0.9,0.08823169318997146,0.1491366141183022,0.8716643166055488,28,2.7999999999999994,0,all_matching_28d,2.5,42,cvar_0.5
nonoverlapping_24h,actual_expense,EUR/block,0.9,8.085647215600318,9.993203690378289,10.223278178950675,28,2.7999999999999994,0,all_matching_28d,2.5,42,cvar_0.5
nonoverlapping_24h,shortage_penalty,EUR/block,0.9,0.8823169318997147,1.4913661411830237,8.71664316605549,28,2.7999999999999994,0,all_matching_28d,2.5,42,cvar_0.5
nonoverlapping_24h,inventory_adjustment,EUR/block,0.9,0.09516741593275917,0.6943500000000001,0.6943500000000001,28,2.7999999999999994,0,all_matching_28d,2.5,42,cvar_0.5
nonoverlapping_24h,adjusted_loss,EUR/block,0.9,9.063131563432792,10.390338830397333,18.64255177324503,28,2.7999999999999994,0,all_matching_28d,2.5,42,cvar_0.5
nonoverlapping_24h,ens,kWh/block,0.9,0.08823169318997146,0.1491366141183022,0.8716643166055488,28,2.7999999999999994,0,all_matching_28d,2.5,42,cvar_0.5
