experiment,window,grid_limit_kw,seed,forecast_lead_hours,population,sample_count,mae_kw,bias_forecast_minus_actual_kw,rmse_kw,p10_p90_coverage,ensemble_range_coverage,below_ensemble_min_fraction,mean_p10_p90_width_kw
seed_repeat,winter,2.5,7,6,daylight_proxy,12,0.28443671332465276,0.22073945545014875,0.4023807615370178,0.9166666666666666,1.0,0.0,0.7807617187500001
seed_repeat,winter,2.5,7,7,all_hours,24,0.14221835666232638,0.11036972772507438,0.2845261651018324,0.9166666666666666,1.0,0.0,0.3944469633556548
seed_repeat,winter,2.5,7,7,daylight_proxy,12,0.28443671332465276,0.2207394554501488,0.40238076153701774,0.8333333333333334,1.0,0.0,0.7888939267113096
seed_repeat,winter,2.5,7,8,all_hours,24,0.14220382448226684,0.11035519554501487,0.28452086611399174,0.9583333333333334,0.9583333333333334,0.041666666666666664,0.4320446196056548
seed_repeat,winter,2.5,7,8,daylight_proxy,12,0.2844076489645337,0.22071039109002974,0.4023732676365467,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.8640892392113096
seed_repeat,winter,2.5,7,9,all_hours,24,0.1430350651816716,0.11118643624441964,0.28537811497770854,0.9166666666666666,1.0,0.0,0.42377871558779767
seed_repeat,winter,2.5,7,9,daylight_proxy,12,0.2860701303633432,0.22237287248883927,0.4035856006059439,0.8333333333333334,1.0,0.0,0.8475574311755952
seed_repeat,winter,2.5,7,10,all_hours,24,0.1453485882471478,0.11349995930989581,0.2893371526243821,0.9583333333333334,1.0,0.0,0.38088843936011907
seed_repeat,winter,2.5,7,10,daylight_proxy,12,0.2906971764942956,0.22699991861979163,0.40918452533981536,0.9166666666666666,1.0,0.0,0.7617768787202381
seed_repeat,winter,2.5,7,11,all_hours,24,0.14936237637958827,0.1175137474423363,0.30032433708802264,0.9166666666666666,1.0,0.0,0.3185802641369048
seed_repeat,winter,2.5,7,11,daylight_proxy,12,0.2987247527591766,0.2350274948846726,0.4247227506205907,0.8333333333333334,1.0,0.0,0.6371605282738096
seed_repeat,winter,2.5,7,12,all_hours,24,0.13513537210131446,0.10328674316406246,0.264443671967198,0.9583333333333334,1.0,0.0,0.36888776506696425
seed_repeat,winter,2.5,7,12,daylight_proxy,12,0.2702707442026289,0.20657348632812497,0.37397982737975316,0.9166666666666666,1.0,0.0,0.7377755301339287
seed_repeat,winter,2.5,7,13,all_hours,24,0.1310665554470486,0.07862272716703866,0.2598499086517071,1.0,1.0,0.0,0.34496198381696425
seed_repeat,winter,2.5,7,13,daylight_proxy,12,0.2621331108940972,0.15724545433407736,0.367483264996654,1.0,1.0,0.0,0.6899239676339285
seed_repeat,winter,2.5,7,14,all_hours,24,0.14536050463479663,0.12476530529203868,0.28870643747057523,1.0,1.0,0.0,0.32296316964285715
seed_repeat,winter,2.5,7,14,daylight_proxy,12,0.2907210092695932,0.24953061058407736,0.4082925594153074,1.0,1.0,0.0,0.6459263392857143
seed_repeat,winter,2.5,7,15,all_hours,24,0.16933860173301088,0.14874340239025297,0.31732140908006157,0.9583333333333334,0.9583333333333334,0.041666666666666664,0.31592378162202384
seed_repeat,winter,2.5,7,15,daylight_proxy,12,0.33867720346602176,0.297486804780506,0.44876024035236406,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.6318475632440477
seed_repeat,winter,2.5,7,16,all_hours,24,0.16977456713479663,0.14917936779203866,0.3174673451769449,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.3658650716145833
seed_repeat,winter,2.5,7,16,daylight_proxy,12,0.33954913426959327,0.2983587355840774,0.4489666251598163,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.7317301432291666
seed_repeat,winter,2.5,7,17,all_hours,24,0.16977456713479663,0.14917936779203866,0.3174673451769449,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.32799421037946425
seed_repeat,winter,2.5,7,17,daylight_proxy,12,0.3395491342695933,0.2983587355840774,0.4489666251598163,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.6559884207589285
seed_repeat,winter,2.5,7,18,all_hours,24,0.16977456713479663,0.1491793677920387,0.3174673451769449,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.3615054175967262
seed_repeat,winter,2.5,7,18,daylight_proxy,12,0.3395491342695933,0.2983587355840774,0.4489666251598163,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.7230108351934524
